Date,Close,High,Low,Open,Volume
2024-09-05,1602.489990234375,1607.5999755859375,1602.489990234375,1602.489990234375,0
2024-09-06,1603.5699462890625,1613.469970703125,1603.469970703125,1603.5699462890625,0
2024-09-09,1613.469970703125,1647.0,1606.280029296875,1613.469970703125,0
2024-09-10,1644.77001953125,1645.18994140625,1644.5,1644.77001953125,0
2024-09-11,1644.5,1654.25,1640.719970703125,1644.5,0
2024-09-12,1630.0,1657.6300048828125,1625.1199951171875,1654.5,0
2024-09-13,1654.93994140625,1654.93994140625,1615.3800048828125,1654.93994140625,0
2024-09-16,1651.280029296875,1647.81005859375,1638.5999755859375,1647.81005859375,0
2024-09-17,1638.5999755859375,1643.3599853515625,1638.5699462890625,1638.5999755859375,0
2024-09-18,1640.050048828125,1646.7099609375,1628.0799560546875,1640.050048828125,0
2024-09-19,1638.9300537109375,1642.300048828125,1637.699951171875,1638.9300537109375,0
2024-09-20,1639.8199462890625,1649.3499755859375,1617.02001953125,1639.8199462890625,0
2024-09-23,1615.010009765625,1638.780029296875,1637.4200439453125,1637.4200439453125,0
2024-09-24,1638.1199951171875,1638.1199951171875,1613.489990234375,1638.1199951171875,0
2024-09-25,1613.489990234375,1645.7900390625,1634.0999755859375,1634.0999755859375,0
2024-09-26,1649.9100341796875,1659.8800048828125,1649.4200439453125,1649.9100341796875,0
2024-09-27,1652.9000244140625,1667.989990234375,1651.6700439453125,1652.9000244140625,0
2024-09-30,1667.1099853515625,1669.5,1643.0,1667.989990234375,0
2024-10-01,1668.989990234375,1672.8399658203125,1667.8299560546875,1668.989990234375,0
2024-10-02,1667.8299560546875,1670.0999755859375,1667.8299560546875,1667.8299560546875,0
2024-10-03,1670.239990234375,1670.56005859375,1644.5,1670.239990234375,0
2024-10-04,1657.1700439453125,1663.6500244140625,1619.5,1657.1700439453125,0
2024-10-07,1657.3599853515625,1657.3599853515625,1614.5,1657.3599853515625,0
2024-10-08,1619.0999755859375,1657.3599853515625,1618.300048828125,1657.3599853515625,0
2024-10-09,1619.6800537109375,1624.3299560546875,1619.5999755859375,1619.6800537109375,0
2024-10-10,1620.0,1623.8800048828125,1619.7900390625,1620.0,0
2024-10-11,1619.7900390625,1623.6800537109375,1619.5899658203125,1619.7900390625,0
2024-10-14,1621.6500244140625,1634.699951171875,1618.489990234375,1618.489990234375,0
2024-10-15,1634.699951171875,1635.510009765625,1631.77001953125,1634.699951171875,0
2024-10-16,1634.5,1644.6800537109375,1634.3399658203125,1634.5,0
2024-10-17,1634.3399658203125,1636.510009765625,1634.31005859375,1634.3399658203125,0
2024-10-18,1634.31005859375,1637.1700439453125,1634.31005859375,1634.31005859375,0
2024-10-21,1641.02001953125,1638.550048828125,1632.1500244140625,1632.1500244140625,0
2024-10-22,1638.550048828125,1642.8399658203125,1638.550048828125,1638.550048828125,0
2024-10-23,1645.1300048828125,1645.280029296875,1640.72998046875,1645.1300048828125,0
